age,annual_income,loan_amount,loan_term_months,credit_score,debt_to_income_ratio,employment_years,num_open_accounts,num_derogatory_marks,late_payments_2yr,loan_purpose,default
60,64600.45,16600.21,60,679,0.1809,2.9,1,0,0,education,0
50,102691.1,19000.78,60,712,0.206,0.7,1,0,0,home_improvement,0
36,80337.37,6002.44,48,577,0.2697,2.9,8,0,0,home_improvement,0
64,45999.23,15291.7,12,755,0.352,4.5,17,0,0,education,0
29,59971.69,7493.73,24,648,0.4279,2.9,10,0,0,home_improvement,0
42,59258.92,18550.84,24,713,0.1588,12.1,19,0,0,business,0
60,84449.91,1000.0,12,678,0.0269,2.0,14,0,0,home_improvement,0
40,83629.94,25341.11,60,645,0.4072,3.0,18,2,0,personal,0
44,48169.88,10918.82,24,554,0.3281,8.7,11,0,0,home_improvement,0
32,88679.14,16171.23,48,626,0.3667,6.3,4,0,0,education,0
32,75164.85,16869.96,60,681,0.5119,6.3,10,1,1,personal,0
45,81734.8,10813.28,24,802,0.2908,0.6,14,1,0,personal,0
57,77945.73,9784.88,48,778,0.222,0.3,5,0,0,business,0
61,85725.49,16476.77,24,742,0.7483,13.3,5,1,0,business,0
45,41679.7,24889.4,60,724,0.0632,2.6,13,1,1,personal,0
24,69752.15,18711.8,48,710,0.0986,3.1,5,1,1,personal,0
43,90185.47,11625.86,24,506,0.2322,0.5,12,1,0,personal,0
23,92893.02,25271.06,36,720,0.531,1.8,2,0,1,home_improvement,1
45,92854.45,28535.54,36,736,0.2759,9.4,12,0,0,debt_consolidation,0
51,42851.92,12711.46,60,540,0.2157,2.5,4,0,1,debt_consolidation,0
59,116956.18,17210.35,60,681,0.1594,1.3,13,0,1,business,0
23,109127.12,17816.95,48,822,0.2169,16.7,5,0,0,home_improvement,0
42,43362.1,27441.4,12,690,0.0982,19.9,14,1,0,personal,0
54,57524.41,20316.4,24,850,0.1018,1.5,1,0,0,debt_consolidation,0
33,82128.71,22492.4,12,574,0.4875,13.4,6,1,0,business,0
